                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.5841,                  2.239,                  1.612,                0.35339,                0.28149,                0.19084,                0.10857,                 1.9774,                 2.4126,                 2.0983,                0.00802,                0.00802,                0.00802
                     62,                  1.482,                  2.032,                 1.6053,                0.35339,                0.28149,                0.19084,                0.10857,                 1.9774,                 2.4126,                 2.0983,               0.007987,               0.007987,               0.007987
                     63,                 1.5332,                  1.943,                 1.6028,                0.35339,                0.28149,                0.19084,                0.10857,                 1.9774,                 2.4126,                 2.0983,               0.007954,               0.007954,               0.007954
                     64,                 1.5595,                 2.0745,                 1.5953,                0.35339,                0.28149,                0.19084,                0.10857,                 1.9774,                 2.4126,                 2.0983,               0.007921,               0.007921,               0.007921
                     65,                 1.6301,                  2.228,                 1.6315,                0.30282,                0.28397,                0.14968,                0.09254,                 2.1133,                 2.5082,                 2.1863,               0.007888,               0.007888,               0.007888
                     66,                 1.5637,                 2.1307,                 1.6088,                0.30282,                0.28397,                0.14968,                0.09254,                 2.1133,                 2.5082,                 2.1863,               0.007855,               0.007855,               0.007855
                     67,                 1.7636,                 2.3991,                 1.6923,                0.30282,                0.28397,                0.14968,                0.09254,                 2.1133,                 2.5082,                 2.1863,               0.007822,               0.007822,               0.007822
                     68,                 1.6365,                 2.1846,                 1.6506,                0.30072,                0.17951,                0.14039,                0.09088,                 2.1533,                 2.6957,                 2.2083,               0.007789,               0.007789,               0.007789
                     69,                 1.4147,                 2.0042,                 1.5208,                0.30072,                0.17951,                0.14039,                0.09088,                 2.1533,                 2.6957,                 2.2083,               0.007756,               0.007756,               0.007756
                     70,                 1.4587,                 1.9078,                 1.4996,                0.30072,                0.17951,                0.14039,                0.09088,                 2.1533,                 2.6957,                 2.2083,               0.007723,               0.007723,               0.007723
                     71,                  1.519,                 2.1164,                 1.5494,                0.21502,                0.20892,                0.13957,                0.05312,                 2.2361,                 2.6668,                 2.2699,                0.00769,                0.00769,                0.00769
                     72,                 1.5533,                 2.1124,                 1.6274,                0.21502,                0.20892,                0.13957,                0.05312,                 2.2361,                 2.6668,                 2.2699,               0.007657,               0.007657,               0.007657
                     73,                 1.5607,                 2.1492,                 1.6092,                0.21502,                0.20892,                0.13957,                0.05312,                 2.2361,                 2.6668,                 2.2699,               0.007624,               0.007624,               0.007624
                     74,                 1.6253,                 2.1548,                 1.6657,                0.24165,                0.18453,                0.12561,                0.04785,                 2.2296,                 2.7199,                 2.2998,               0.007591,               0.007591,               0.007591
                     75,                 1.4699,                 2.0107,                 1.5455,                0.24165,                0.18453,                0.12561,                0.04785,                 2.2296,                 2.7199,                 2.2998,               0.007558,               0.007558,               0.007558
                     76,                  1.527,                  2.169,                 1.5624,                0.24165,                0.18453,                0.12561,                0.04785,                 2.2296,                 2.7199,                 2.2998,               0.007525,               0.007525,               0.007525
                     77,                 1.6146,                 1.9877,                 1.5193,                0.17459,                0.19675,                0.12147,                 0.0453,                 2.0997,                 2.9881,                 2.1565,               0.007492,               0.007492,               0.007492
                     78,                 1.4837,                 1.9631,                 1.4867,                0.17459,                0.19675,                0.12147,                 0.0453,                 2.0997,                 2.9881,                 2.1565,               0.007459,               0.007459,               0.007459
                     79,                 1.5084,                 1.7932,                 1.5106,                0.17459,                0.19675,                0.12147,                 0.0453,                 2.0997,                 2.9881,                 2.1565,               0.007426,               0.007426,               0.007426
                     80,                 1.4497,                 1.8464,                 1.5199,                0.17459,                0.19675,                0.12147,                 0.0453,                 2.0997,                 2.9881,                 2.1565,               0.007393,               0.007393,               0.007393
                     81,                 1.4187,                 1.9248,                 1.4676,                0.12972,                  0.214,                0.10507,                0.05442,                 2.0596,                 2.6891,                 2.1576,                0.00736,                0.00736,                0.00736
                     82,                 1.3143,                 1.6792,                 1.4229,                0.12972,                  0.214,                0.10507,                0.05442,                 2.0596,                 2.6891,                 2.1576,               0.007327,               0.007327,               0.007327
                     83,                 1.6215,                 1.8925,                 1.6009,                0.12972,                  0.214,                0.10507,                0.05442,                 2.0596,                 2.6891,                 2.1576,               0.007294,               0.007294,               0.007294
                     84,                 1.4538,                 1.7905,                 1.4744,                0.33947,                 0.2211,                 0.1628,                0.09041,                 1.9695,                 2.5846,                 2.0733,               0.007261,               0.007261,               0.007261
                     85,                 1.3275,                 1.6534,                 1.3809,                0.33947,                 0.2211,                 0.1628,                0.09041,                 1.9695,                 2.5846,                 2.0733,               0.007228,               0.007228,               0.007228
