                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.0996,                 1.2163,                 1.3766,                0.33333,                0.29493,                 0.3296,                0.18268,                 1.8589,                 2.0195,                 2.0906,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0998,                 1.1378,                 1.2286,                0.33333,                0.29493,                 0.3296,                0.18268,                 1.8589,                 2.0195,                 2.0906,               0.003961,               0.003961,               0.003961
                    124,                 1.0475,                 1.1187,                 1.2674,                0.33333,                0.29493,                 0.3296,                0.18268,                 1.8589,                 2.0195,                 2.0906,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0527,                 1.1718,                 1.3181,                0.31889,                 0.3714,                0.34465,                0.18569,                 1.9089,                 2.0859,                 2.1304,               0.003862,               0.003862,               0.003862
                    126,                0.93786,                 1.0546,                 1.2131,                0.31889,                 0.3714,                0.34465,                0.18569,                 1.9089,                 2.0859,                 2.1304,              0.0038125,              0.0038125,              0.0038125
                    127,                  1.044,                 1.1393,                 1.2788,                0.31889,                 0.3714,                0.34465,                0.18569,                 1.9089,                 2.0859,                 2.1304,               0.003763,               0.003763,               0.003763
                    128,                   1.05,                 1.1237,                 1.2649,                0.31889,                 0.3714,                0.34465,                0.18569,                 1.9089,                 2.0859,                 2.1304,              0.0037135,              0.0037135,              0.0037135
                    129,                0.99411,                 1.0852,                 1.2276,                0.36644,                 0.3731,                0.34293,                0.19839,                 1.9424,                 2.1836,                 2.1808,               0.003664,               0.003664,               0.003664
                    130,                0.98195,                 1.0433,                 1.2009,                0.36644,                 0.3731,                0.34293,                0.19839,                 1.9424,                 2.1836,                 2.1808,              0.0036145,              0.0036145,              0.0036145
                    131,                0.96911,                 1.0866,                  1.257,                0.36644,                 0.3731,                0.34293,                0.19839,                 1.9424,                 2.1836,                 2.1808,               0.003565,               0.003565,               0.003565
                    132,                0.98212,                 1.0021,                 1.1691,                0.35604,                0.33719,                0.34168,                0.19565,                 1.8596,                  2.167,                 2.0972,              0.0035155,              0.0035155,              0.0035155
                    133,                0.98305,                 1.0581,                 1.1937,                0.35604,                0.33719,                0.34168,                0.19565,                 1.8596,                  2.167,                 2.0972,               0.003466,               0.003466,               0.003466
                    134,                 1.0007,                 1.0934,                 1.1909,                0.35604,                0.33719,                0.34168,                0.19565,                 1.8596,                  2.167,                 2.0972,              0.0034165,              0.0034165,              0.0034165
                    135,                0.92411,                0.89701,                 1.1653,                0.29418,                0.37323,                0.33881,                0.18966,                 1.9376,                 2.2398,                 2.1354,               0.003367,               0.003367,               0.003367
                    136,                  1.032,                 1.0659,                 1.2636,                0.29418,                0.37323,                0.33881,                0.18966,                 1.9376,                 2.2398,                 2.1354,              0.0033175,              0.0033175,              0.0033175
                    137,                0.97758,                0.96633,                 1.2212,                0.29418,                0.37323,                0.33881,                0.18966,                 1.9376,                 2.2398,                 2.1354,               0.003268,               0.003268,               0.003268
                    138,                0.98954,                 1.0085,                 1.2381,                0.34171,                0.39047,                0.34122,                0.19342,                 1.8895,                 2.2959,                 2.1344,              0.0032185,              0.0032185,              0.0032185
                    139,                0.99862,                0.98711,                 1.2288,                0.34171,                0.39047,                0.34122,                0.19342,                 1.8895,                 2.2959,                 2.1344,               0.003169,               0.003169,               0.003169
                    140,                0.98611,                 1.0531,                 1.2043,                0.34171,                0.39047,                0.34122,                0.19342,                 1.8895,                 2.2959,                 2.1344,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0371,                 1.1254,                 1.2617,                0.37274,                0.33604,                0.33197,                0.17886,                 1.8766,                 2.3334,                 2.1494,                0.00307,                0.00307,                0.00307
                    142,                 1.0422,                 1.0338,                   1.29,                0.37274,                0.33604,                0.33197,                0.17886,                 1.8766,                 2.3334,                 2.1494,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1185,                 1.1091,                 1.3036,                0.37274,                0.33604,                0.33197,                0.17886,                 1.8766,                 2.3334,                 2.1494,               0.002971,               0.002971,               0.002971
                    144,                0.93396,                0.95616,                 1.2557,                0.37274,                0.33604,                0.33197,                0.17886,                 1.8766,                 2.3334,                 2.1494,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.1442,                 1.1922,                 1.3943,                0.80252,                0.20174,                 0.3149,                0.17806,                 1.8906,                 2.4016,                 2.1218,               0.002872,               0.002872,               0.002872
                    146,                 1.0114,                  1.081,                 1.2769,                0.80252,                0.20174,                 0.3149,                0.17806,                 1.8906,                 2.4016,                 2.1218,              0.0028225,              0.0028225,              0.0028225
                    147,                0.94028,                0.94201,                 1.2079,                0.80252,                0.20174,                 0.3149,                0.17806,                 1.8906,                 2.4016,                 2.1218,               0.002773,               0.002773,               0.002773
                    148,                0.98291,                0.99649,                 1.2215,                0.60473,                0.20385,                0.31097,                0.17803,                 1.8744,                 2.4158,                 2.1105,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.0409,                 1.0518,                 1.2007,                0.60473,                0.20385,                0.31097,                0.17803,                 1.8744,                 2.4158,                 2.1105,               0.002674,               0.002674,               0.002674
