                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.7654,                 2.3605,                 1.6047,                0.20481,                 0.1572,                0.10962,                0.03556,                 2.2104,                 3.2197,                 2.3094,               0.007822,               0.007822,               0.007822
                     68,                 1.7257,                 2.4565,                 1.6999,                0.20481,                 0.1572,                0.10962,                0.03556,                 2.2104,                 3.2197,                 2.3094,               0.007789,               0.007789,               0.007789
                     69,                 1.6521,                 2.5253,                 1.6221,                0.20481,                 0.1572,                0.10962,                0.03556,                 2.2104,                 3.2197,                 2.3094,               0.007756,               0.007756,               0.007756
                     70,                 1.5166,                 2.2832,                 1.5472,                0.13032,                0.19262,                0.09705,                0.03193,                 2.2593,                 3.0112,                 2.2286,               0.007723,               0.007723,               0.007723
                     71,                 1.7425,                 2.5481,                 1.6608,                0.13032,                0.19262,                0.09705,                0.03193,                 2.2593,                 3.0112,                 2.2286,                0.00769,                0.00769,                0.00769
                     72,                 1.5914,                  2.413,                 1.5809,                0.20227,                 0.1572,                0.09117,                0.03351,                  2.282,                 2.8759,                 2.2329,               0.007657,               0.007657,               0.007657
                     73,                  1.813,                  2.444,                 1.6807,                0.20227,                 0.1572,                0.09117,                0.03351,                  2.282,                 2.8759,                 2.2329,               0.007624,               0.007624,               0.007624
                     74,                 1.7369,                 2.4498,                  1.649,                0.20227,                 0.1572,                0.09117,                0.03351,                  2.282,                 2.8759,                 2.2329,               0.007591,               0.007591,               0.007591
                     75,                 1.6158,                 2.3894,                 1.6466,                0.16918,                0.21993,                0.12809,                0.03328,                 2.2375,                 2.9016,                 2.1693,               0.007558,               0.007558,               0.007558
                     76,                 1.6825,                 2.4852,                 1.5947,                0.16918,                0.21993,                0.12809,                0.03328,                 2.2375,                 2.9016,                 2.1693,               0.007525,               0.007525,               0.007525
                     77,                 1.7167,                 2.3191,                 1.6099,                0.16918,                0.21993,                0.12809,                0.03328,                 2.2375,                 2.9016,                 2.1693,               0.007492,               0.007492,               0.007492
                     78,                 1.6783,                 2.3415,                 1.5932,                0.15628,                0.20892,                0.14461,                0.04222,                 2.2719,                 2.9238,                 2.2579,               0.007459,               0.007459,               0.007459
                     79,                 1.6619,                 2.4161,                 1.6303,                0.15628,                0.20892,                0.14461,                0.04222,                 2.2719,                 2.9238,                 2.2579,               0.007426,               0.007426,               0.007426
                     80,                 1.5921,                 2.2992,                 1.5403,                0.21708,                0.21742,                0.11633,                0.03862,                 2.2494,                 2.9634,                 2.2744,               0.007393,               0.007393,               0.007393
                     81,                 1.5756,                 2.3508,                 1.5891,                0.21708,                0.21742,                0.11633,                0.03862,                 2.2494,                 2.9634,                 2.2744,                0.00736,                0.00736,                0.00736
                     82,                  1.632,                 2.4065,                 1.5761,                0.21708,                0.21742,                0.11633,                0.03862,                 2.2494,                 2.9634,                 2.2744,               0.007327,               0.007327,               0.007327
                     83,                 1.7266,                 2.2652,                 1.5927,                0.19492,                0.23834,                0.11977,                0.03729,                 2.2172,                 2.9688,                 2.2205,               0.007294,               0.007294,               0.007294
                     84,                 1.6316,                 2.5112,                  1.657,                0.19492,                0.23834,                0.11977,                0.03729,                 2.2172,                 2.9688,                 2.2205,               0.007261,               0.007261,               0.007261
                     85,                 1.4844,                 2.1994,                 1.4815,                0.19492,                0.23834,                0.11977,                0.03729,                 2.2172,                 2.9688,                 2.2205,               0.007228,               0.007228,               0.007228
                     86,                  1.548,                 2.3056,                 1.5412,                0.16868,                0.18661,                0.11448,                0.03344,                 2.2916,                 2.9247,                 2.2605,               0.007195,               0.007195,               0.007195
                     87,                 1.4793,                 2.1685,                 1.4761,                0.16868,                0.18661,                0.11448,                0.03344,                 2.2916,                 2.9247,                 2.2605,               0.007162,               0.007162,               0.007162
                     88,                 1.4843,                 2.1478,                 1.4713,                0.35285,                 0.1572,                0.12878,                0.04707,                 2.2441,                 2.8291,                 2.2994,               0.007129,               0.007129,               0.007129
                     89,                 1.5704,                  2.176,                 1.5321,                0.35285,                 0.1572,                0.12878,                0.04707,                 2.2441,                 2.8291,                 2.2994,               0.007096,               0.007096,               0.007096
                     90,                 1.3751,                 2.2301,                 1.4719,                0.35285,                 0.1572,                0.12878,                0.04707,                 2.2441,                 2.8291,                 2.2994,               0.007063,               0.007063,               0.007063
                     91,                 1.4587,                 2.2474,                 1.5041,                0.18698,                0.19168,                  0.148,                0.05201,                 2.2474,                 2.7367,                 2.2789,                0.00703,                0.00703,                0.00703
                     92,                 1.5032,                 2.2367,                 1.4844,                0.18698,                0.19168,                  0.148,                0.05201,                 2.2474,                 2.7367,                 2.2789,               0.006997,               0.006997,               0.006997
                     93,                 1.5508,                 2.2402,                 1.5406,                0.18698,                0.19168,                  0.148,                0.05201,                 2.2474,                 2.7367,                 2.2789,               0.006964,               0.006964,               0.006964
                     94,                 1.6769,                 2.3139,                 1.6494,                0.34836,                0.17444,                0.18576,                0.07704,                 2.3584,                 2.7298,                  2.345,               0.006931,               0.006931,               0.006931
                     95,                 1.6214,                 2.3537,                 1.5424,                0.34836,                0.17444,                0.18576,                0.07704,                 2.3584,                 2.7298,                  2.345,               0.006898,               0.006898,               0.006898
                     96,                 1.4246,                 1.9889,                 1.4297,                0.26581,                0.19394,                  0.146,                0.07328,                 2.2207,                 2.8264,                 2.1865,               0.006865,               0.006865,               0.006865
                     97,                 1.4257,                  1.957,                 1.4497,                0.26581,                0.19394,                  0.146,                0.07328,                 2.2207,                 2.8264,                 2.1865,               0.006832,               0.006832,               0.006832
                     98,                 1.4742,                 2.0728,                 1.4839,                0.26581,                0.19394,                  0.146,                0.07328,                 2.2207,                 2.8264,                 2.1865,               0.006799,               0.006799,               0.006799
                     99,                 1.6165,                 2.2586,                 1.5213,                0.30336,                0.16227,                0.19053,                0.08597,                 2.3254,                 2.6771,                 2.3254,               0.006766,               0.006766,               0.006766
                    100,                 1.3672,                 1.9634,                 1.4075,                0.30336,                0.16227,                0.19053,                0.08597,                 2.3254,                 2.6771,                 2.3254,               0.006733,               0.006733,               0.006733
                    101,                 1.4455,                 2.0742,                 1.3948,                0.30336,                0.16227,                0.19053,                0.08597,                 2.3254,                 2.6771,                 2.3254,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4984,                 2.0705,                 1.4622,                 0.3223,                0.25051,                0.18551,                0.09562,                 2.3662,                 2.6354,                 2.3513,               0.006667,               0.006667,               0.006667
                    103,                 1.4243,                 2.1312,                 1.4297,                 0.3223,                0.25051,                0.18551,                0.09562,                 2.3662,                 2.6354,                 2.3513,               0.006634,               0.006634,               0.006634
                    104,                  1.465,                  2.095,                 1.4749,                 0.2945,                0.25051,                0.20034,                0.09791,                 2.2564,                 2.6262,                 2.2205,               0.006601,               0.006601,               0.006601
                    105,                 1.3736,                 2.0837,                 1.4074,                 0.2945,                0.25051,                0.20034,                0.09791,                 2.2564,                 2.6262,                 2.2205,               0.006568,               0.006568,               0.006568
                    106,                 1.4422,                 2.1488,                 1.4878,                 0.2945,                0.25051,                0.20034,                0.09791,                 2.2564,                 2.6262,                 2.2205,               0.006535,               0.006535,               0.006535
                    107,                 1.4712,                  2.199,                 1.4403,                0.42811,                0.25051,                0.24861,                0.11497,                 2.2198,                 2.5967,                 2.1878,               0.006502,               0.006502,               0.006502
                    108,                 1.5438,                 2.1069,                 1.4939,                0.42811,                0.25051,                0.24861,                0.11497,                 2.2198,                 2.5967,                 2.1878,               0.006469,               0.006469,               0.006469
                    109,                 1.4953,                 2.2392,                 1.4956,                0.42811,                0.25051,                0.24861,                0.11497,                 2.2198,                 2.5967,                 2.1878,               0.006436,               0.006436,               0.006436
                    110,                 1.4969,                 2.0075,                 1.5031,                0.30772,                0.26268,                0.21281,                0.09082,                 2.3291,                 2.7668,                 2.2664,               0.006403,               0.006403,               0.006403
                    111,                 1.5341,                 2.1695,                  1.553,                0.30772,                0.26268,                0.21281,                0.09082,                 2.3291,                 2.7668,                 2.2664,                0.00637,                0.00637,                0.00637
                    112,                 1.4228,                 2.0661,                 1.4772,                0.42985,                0.20268,                0.20443,                0.08409,                 2.2879,                 2.7108,                 2.2276,               0.006337,               0.006337,               0.006337
                    113,                  1.541,                 2.0449,                 1.4756,                0.42985,                0.20268,                0.20443,                0.08409,                 2.2879,                 2.7108,                 2.2276,               0.006304,               0.006304,               0.006304
                    114,                 1.3753,                 1.9087,                 1.4158,                0.42985,                0.20268,                0.20443,                0.08409,                 2.2879,                 2.7108,                 2.2276,               0.006271,               0.006271,               0.006271
                    115,                 1.3932,                 1.9695,                 1.4274,                0.26717,                 0.2211,                0.15674,                0.06719,                 2.3819,                 2.7412,                 2.3204,               0.006238,               0.006238,               0.006238
                    116,                  1.364,                 1.8971,                 1.4379,                0.26717,                 0.2211,                0.15674,                0.06719,                 2.3819,                 2.7412,                 2.3204,               0.006205,               0.006205,               0.006205
                    117,                 1.4793,                 2.3124,                 1.5628,                0.26717,                 0.2211,                0.15674,                0.06719,                 2.3819,                 2.7412,                 2.3204,               0.006172,               0.006172,               0.006172
                    118,                 1.4025,                 1.9045,                 1.4419,                0.44433,                0.25051,                0.20629,                0.07487,                  2.231,                 2.6702,                 2.1985,               0.006139,               0.006139,               0.006139
                    119,                 1.3596,                 1.8991,                  1.418,                0.44433,                0.25051,                0.20629,                0.07487,                  2.231,                 2.6702,                 2.1985,               0.006106,               0.006106,               0.006106
                    120,                 1.4978,                 2.0184,                 1.5565,                0.38443,                0.28499,                0.22506,                 0.0818,                 2.2569,                 2.7178,                 2.1327,               0.006073,               0.006073,               0.006073
                    121,                 1.3429,                 1.9856,                 1.3821,                0.38443,                0.28499,                0.22506,                 0.0818,                 2.2569,                 2.7178,                 2.1327,                0.00604,                0.00604,                0.00604
                    122,                 1.3497,                 1.9093,                 1.4271,                0.38443,                0.28499,                0.22506,                 0.0818,                 2.2569,                 2.7178,                 2.1327,               0.006007,               0.006007,               0.006007
                    123,                 1.4367,                 1.8811,                 1.3721,                0.48771,                0.19168,                0.19816,                 0.0768,                 2.2949,                  2.816,                 2.1681,               0.005974,               0.005974,               0.005974
                    124,                 1.4821,                 1.9599,                  1.435,                0.48771,                0.19168,                0.19816,                 0.0768,                 2.2949,                  2.816,                 2.1681,               0.005941,               0.005941,               0.005941
                    125,                 1.3965,                 1.8838,                 1.4281,                0.48771,                0.19168,                0.19816,                 0.0768,                 2.2949,                  2.816,                 2.1681,               0.005908,               0.005908,               0.005908
                    126,                 1.3379,                 2.1824,                 1.4245,                0.40619,                0.16227,                0.16831,                0.07068,                 2.2558,                 2.7659,                 2.2206,               0.005875,               0.005875,               0.005875
                    127,                 1.4112,                 2.0099,                 1.4339,                0.40619,                0.16227,                0.16831,                0.07068,                 2.2558,                 2.7659,                 2.2206,               0.005842,               0.005842,               0.005842
                    128,                 1.3845,                 1.8911,                 1.4193,                0.32976,                0.19168,                0.16493,                0.06172,                 2.3241,                 2.7304,                 2.2909,               0.005809,               0.005809,               0.005809
                    129,                  1.277,                 1.8478,                 1.2966,                0.32976,                0.19168,                0.16493,                0.06172,                 2.3241,                 2.7304,                 2.2909,               0.005776,               0.005776,               0.005776
                    130,                 1.4808,                 2.1063,                 1.5182,                0.32976,                0.19168,                0.16493,                0.06172,                 2.3241,                 2.7304,                 2.2909,               0.005743,               0.005743,               0.005743
                    131,                 1.2372,                 1.8024,                 1.3432,                 0.2135,                0.20892,                0.16167,                0.05453,                 2.3552,                 2.7631,                 2.3456,                0.00571,                0.00571,                0.00571
                    132,                 1.3527,                 1.6886,                 1.3282,                 0.2135,                0.20892,                0.16167,                0.05453,                 2.3552,                 2.7631,                 2.3456,               0.005677,               0.005677,               0.005677
                    133,                 1.4049,                 1.8739,                 1.3864,                 0.2135,                0.20892,                0.16167,                0.05453,                 2.3552,                 2.7631,                 2.3456,               0.005644,               0.005644,               0.005644
                    134,                 1.3763,                 1.8771,                   1.35,                0.29113,                 0.1501,                0.16269,                0.06176,                 2.3721,                 2.8306,                 2.3359,               0.005611,               0.005611,               0.005611
                    135,                 1.3185,                 1.8407,                 1.3321,                0.29113,                 0.1501,                0.16269,                0.06176,                 2.3721,                 2.8306,                 2.3359,               0.005578,               0.005578,               0.005578
                    136,                 1.2749,                 1.9917,                 1.3582,                0.17102,                0.21409,                 0.1717,                0.07796,                 2.2795,                 2.8596,                  2.231,               0.005545,               0.005545,               0.005545
                    137,                 1.3201,                 1.8563,                 1.3756,                0.17102,                0.21409,                 0.1717,                0.07796,                 2.2795,                 2.8596,                  2.231,               0.005512,               0.005512,               0.005512
                    138,                 1.2474,                 1.8466,                 1.3408,                0.17102,                0.21409,                 0.1717,                0.07796,                 2.2795,                 2.8596,                  2.231,               0.005479,               0.005479,               0.005479
                    139,                 1.2983,                 1.7282,                 1.3011,                0.76083,                0.12069,                0.17048,                 0.0764,                 2.2458,                 2.8607,                 2.2202,               0.005446,               0.005446,               0.005446
                    140,                 1.2197,                 1.7389,                 1.3013,                0.76083,                0.12069,                0.17048,                 0.0764,                 2.2458,                 2.8607,                 2.2202,               0.005413,               0.005413,               0.005413
                    141,                 1.2737,                 1.7889,                 1.2814,                0.76083,                0.12069,                0.17048,                 0.0764,                 2.2458,                 2.8607,                 2.2202,                0.00538,                0.00538,                0.00538
                    142,                 1.3862,                  1.873,                 1.4598,                0.37058,                 0.1501,                0.15973,                0.07334,                 2.2755,                 2.9547,                 2.2195,               0.005347,               0.005347,               0.005347
                    143,                 1.4311,                 1.7735,                 1.3589,                0.37058,                 0.1501,                0.15973,                0.07334,                 2.2755,                 2.9547,                 2.2195,               0.005314,               0.005314,               0.005314
                    144,                 1.3148,                 1.7704,                 1.3314,                0.52075,                0.15999,                 0.1808,                0.09643,                 2.3362,                  2.919,                 2.3541,               0.005281,               0.005281,               0.005281
                    145,                 1.1968,                 1.6516,                 1.3332,                0.52075,                0.15999,                 0.1808,                0.09643,                 2.3362,                  2.919,                 2.3541,               0.005248,               0.005248,               0.005248
                    146,                  1.193,                 1.6507,                 1.3024,                0.52075,                0.15999,                 0.1808,                0.09643,                 2.3362,                  2.919,                 2.3541,               0.005215,               0.005215,               0.005215
                    147,                 1.2819,                 1.6495,                 1.2959,                0.61278,                0.14503,                0.19884,                0.10493,                 2.2393,                 2.7969,                 2.2287,               0.005182,               0.005182,               0.005182
                    148,                 1.3169,                 1.6808,                 1.3984,                0.61278,                0.14503,                0.19884,                0.10493,                 2.2393,                 2.7969,                 2.2287,               0.005149,               0.005149,               0.005149
                    149,                 1.5373,                 1.8464,                 1.4327,                0.61278,                0.14503,                0.19884,                0.10493,                 2.2393,                 2.7969,                 2.2287,               0.005116,               0.005116,               0.005116
                    150,                 1.2662,                 1.6701,                 1.3204,                0.86444,                0.12779,                0.20847,                0.10997,                 2.2533,                 2.7445,                 2.2143,               0.005083,               0.005083,               0.005083
                    151,                 1.2724,                 1.5951,                 1.3134,                0.86444,                0.12779,                0.20847,                0.10997,                 2.2533,                 2.7445,                 2.2143,                0.00505,                0.00505,                0.00505
